"search-number","evaluation","g1t1*","g2t1*","g3t1*","g4t1*","g5t1*","g6t1*","g7t1*","g1t2*","g2t2*","g3t2*","g4t2*","g5t2*","g6t2*","g7t2*","g1t3*","g2t3*","g3t3*","g4t3*","g5t3*","g6t3*","g7t3*","g1t4*","g2t4*","g3t4*","g4t4*","g5t4*","g6t4*","g7t4*","g1t5*","g2t5*","g3t5*","g4t5*","g5t5*","g6t5*","g7t5*","fitness","num-replicates","best-fitness-so-far"
"1","2510","0.14","0","0.03","0.78","0.72","0.9400000000000001","0.22","0.36","0.61","0.31","0.58","0.39","0","0.72","0.73","0.04","0.79","0.89","0.86","0.3","0.41000000000000003","0.17","0.41000000000000003","0.3","0.97","0.9400000000000001","0.73","0.9400000000000001","0.23","0.96","0.07","0.38","0.58","0.15","0.8200000000000001","206","1","199"
"1","2511","0.46","0.04","0.75","0.15","0.19","0.37","0.44","0.42","0.92","0.6","0.37","0.29","0.62","0.97","0.73","0.9","0.34","0.46","0.12","0.97","0.14","0.47000000000000003","1","0.73","0.19","0.86","0.87","0.8200000000000001","0.34","0.12","0.68","0.14","0.61","0.1","0.41000000000000003","203","1","199"
"1","2512","0.14","0","0.07","0.65","0.72","0.45","0.41000000000000003","0.36","0.61","0.31","0.58","0.39","0","0.72","0.73","0.04","0.8","0.86","0.86","0.3","0.41000000000000003","0.17","0.41000000000000003","0.3","0.97","0.33","0.59","0.64","0.44","0.35000000000000003","0.65","0.54","0.79","0.66","0.59","206","1","199"
"1","2513","0.01","0","0","0.89","0.31","0.98","0.25","0.17","0.64","0.08","0.09","0.22","0.79","0.48","0.11","0.87","0.4","0.46","0.45","0.15","0.14","0.08","0.8200000000000001","0.14","0.16","0.35000000000000003","0.73","0.9400000000000001","0.2","0.96","0.07","0.38","0.03","0.1","0.41000000000000003","199","1","199"
"1","2514","0.62","0.49","0.9","0.32","0.41000000000000003","0.05","0.06","0.58","0.66","0.4","0.5700000000000001","0.34","0.22","0.9","0.63","0.27","0.5700000000000001","0.11","0.34","0.6","0.8200000000000001","0.61","0.78","0.87","0.08","0.72","0.89","0.6","0.14","0.93","0.76","0.33","0.6900000000000001","0.1","0.64","203","1","199"
"1","2515","0.59","0.45","0.58","0.85","0.49","0.9400000000000001","0.04","0.08","0.52","0.15","0.8200000000000001","0.06","0.41000000000000003","0.64","0.23","0.5","0.7000000000000001","0.37","0.76","0.77","0.36","0.97","0.64","0.39","0.58","0.33","0.88","0.06","0.34","0.11","0.9500000000000001","0.55","0.67","0.91","0.6","203","1","199"
"1","2516","0.46","0.03","0.68","0.81","0.3","0.56","0.06","0.59","0.77","0.21","0.07","0.06","0.54","0.88","0.55","0.97","0.21","0.77","0.16","0.02","0.35000000000000003","0.51","0.89","0.44","0.05","0.97","0.87","0.67","0.98","0.12","0.59","0.14","0.5700000000000001","0.1","0.15","203","1","199"
"1","2517","0.86","0.93","0.58","0.46","0.11","0.08","0.23","0.35000000000000003","0.3","0.75","0.01","0.28","0.29","0.9400000000000001","0.5700000000000001","0.74","0.86","0.92","0.75","0.06","0.42","0.63","0.49","0.87","0.08","0.73","0.89","0.79","0.14","0.93","0.52","0.33","0.61","0.19","0.3","203","1","199"
"1","2518","0.9400000000000001","0.63","0.15","0.91","0.9500000000000001","0.98","0.49","0.86","0.5","0.75","0.04","0.15","0.29","0.04","0.9400000000000001","0.49","0.31","0.53","0.05","0.49","0.36","0.9400000000000001","0.86","0.14","0.15","0.86","0.59","0.49","0.34","0.43","0.78","0.86","0.79","0.93","0.75","203","1","199"
"1","2519","0.46","0.03","0.6900000000000001","0.34","0.19","0.26","0.44","0.36","0.92","0.11","0.33","0.28","0.17","0.41000000000000003","0.7000000000000001","0.85","0.41000000000000003","0.77","0.99","0.3","0.8200000000000001","0.45","0.9","0.11","0.3","0.67","0.98","0.37","0.2","0.24","0.9500000000000001","0.61","0.07","0.17","0.49","203","1","199"
